dgp,fit,leaf,nuisance_truth,design,estimand,system,node_key,node_name,node_type,top_feature,depth,fanout,subtree_indicator_count,subtree_rating_count,z_true,prior_p_z1,posterior_p_z1,prior_entropy,posterior_entropy,entropy_reduction,relative_entropy_reduction,brier,log_score,neg_log_score
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality,Representationality,feature,Representationality,1,4,8,8,1,0.9249619188927626,0.7487731639574399,0.2664801241977445,0.5636789524647094,-0.297198828266965,-1.115275779616589,0.06311492314795539,-0.2893191931930289,0.2893191931930289
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > Conceptual Representations,Conceptual Representations,feature,Representationality,2,3,3,3,1,0.81855749032424,0.7805293393567854,0.47357379847331393,0.5262371775026544,-0.052663379029340485,-0.11120416543126822,0.04816737088316908,-0.2477829492696238,0.2477829492696238
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > Propositional Representations,Propositional Representations,feature,Representationality,2,1,1,1,1,0.8165595731648473,0.655588337159786,0.47657047011926423,0.6439184321249795,-0.16734796200571522,-0.35115050658475655,0.11861939350036121,-0.42222222183783403,0.42222222183783403
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > World Modelling,World Modelling,feature,Representationality,2,2,2,2,1,0.7456809635581148,0.6674554921202113,0.5670305359962824,0.6359659955499632,-0.06893545955368086,-0.12157274639990961,0.11058584972101088,-0.4042825694024342,0.4042825694024342
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > Isomorphic Representations,Isomorphic Representations,feature,Representationality,2,2,2,2,1,0.7162153362665447,0.7700992793515051,0.5964923590428877,0.5391563533141143,0.0573360057287734,0.09612194499988717,0.05285434135469728,-0.2612358382229761,0.2612358382229761
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,feature,Hierarchical Organization,1,1,1,1,1,0.8263271266737368,0.6454403178872273,0.46166248881619654,0.6502236578088352,-0.18856116899263864,-0.40843944128133663,0.12571256817991042,-0.4378225317039744,0.4378225317039744
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence,Coherence,feature,Coherence,1,4,13,13,1,0.7972391007321977,0.7463816464257834,0.5042061037076643,0.5662755103850932,-0.062069406677428884,-0.12310324333839552,0.06432226926969634,-0.2925182192130337,0.2925182192130337
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence > Autonomous Subparts,Autonomous Subparts,feature,Coherence,2,5,5,5,0,0.46309688116658304,3.168488443084592e-05,0.6904210219852163,0.000359929355216414,0.6900610926299998,0.9994786813498501,1.0039319013960621e-09,-3.1685386407392275e-05,3.1685386407392275e-05
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence > Point of View,Point of View,feature,Coherence,2,2,2,2,1,0.7035965231190177,0.7481305900284498,0.6077861072562275,0.5643795976214724,0.04340650963475512,0.0714174100337835,0.06343819967941682,-0.29017773064642016,0.29017773064642016
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence > Common Representational Scheme,Common Representational Scheme,feature,Coherence,2,3,3,3,1,0.6568612638872846,0.7503736460656686,0.6430954647884466,0.5619242800386738,0.0811711847497728,0.12621949491818446,0.0623133165785481,-0.28718400175536113,0.28718400175536113
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence > Social Coherence,Social Coherence,feature,Coherence,2,3,3,3,0,0.719349318487208,0.7476390102866495,0.5935668115866956,0.5649141232298771,0.028652688356818445,0.048272052610598956,0.5589640897024007,-1.376894717655904,1.376894717655904
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Modularity,Modularity,feature,Modularity,1,6,6,6,1,0.5597210483405006,0.7504846805022078,0.6859969149136287,0.5618020419523073,0.12419487296132137,0.18104290305293616,0.062257894664085295,-0.28703604050575304,0.28703604050575304
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Complexity,Complexity,feature,Complexity,1,3,8,8,1,0.9199980446485339,0.7497925828950555,0.2787741473894699,0.5625629008953743,-0.28378875350590443,-1.0179880600959341,0.0626037515743277,-0.28795866684040833,0.28795866684040833
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Complexity > Functional Diversity,Functional Diversity,feature,Complexity,2,2,2,2,1,0.7139085742061968,0.7484354554754271,0.5986148101617902,0.5640474540389199,0.03456735612287032,0.05774557450980481,0.06328472006185581,-0.28977031067038866,0.28977031067038866
