check,status,detail
required_inputs_present,pass,"targeted_override_sanity.json, recovery_ladder_cases.csv, recovery_ladder_summary.csv, recovery_ladder_report.md"
targeted_override_sanity_pass_fail,pass,pass_fail=pass
recovery_ladder_cases_read,pass,rows=13000
recovery_ladder_summary_read,pass,rows=39
recovery_ladder_report_read,pass,characters=10817
summary_n_cases_match_case_rows,pass,no mismatches
L4_L5_L6_pass_all_summary_rows,pass,pass_rows=9/9; system_ALL_pass=True
Chicken_LLMs_threshold_flags,fail,"L2_sweep__0p43_0p50: Chicken(balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20), LLMs(balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20) | L2_sweep__0p55_0p45: Chicken(balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20), LLMs(balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20) | L2_sweep__0p60_0p40: Chicken(balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20), LLMs(balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20) | L2_sweep__0p65_0p35: Chicken(balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20), LLMs(balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20) | L2_sweep__0p70_0p30: Chicken(balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20), LLMs(balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20)"
L2_sweep_lower_edge_gap_threshold_diagnostic,info,"first metric-threshold clear gap=0.6; first source-label clear gap=0.8; gap -0.07: threshold_status={'Chicken': 'fail', 'LLMs': 'fail'}, source_labels={'Chicken': 'fail', 'LLMs': 'fail'} | gap 0.10: threshold_status={'Chicken': 'fail', 'LLMs': 'fail'}, source_labels={'Chicken': 'fail', 'LLMs': 'fail'} | gap 0.20: threshold_status={'Chicken': 'fail', 'LLMs': 'fail'}, source_labels={'Chicken': 'fail', 'LLMs': 'fail'} | gap 0.30: threshold_status={'Chicken': 'fail', 'LLMs': 'fail'}, source_labels={'Chicken': 'fail', 'LLMs': 'fail'} | gap 0.40: threshold_status={'Chicken': 'fail', 'LLMs': 'fail'}, source_labels={'Chicken': 'fail', 'LLMs': 'fail'} | gap 0.60: threshold_status={'Chicken': 'pass', 'LLMs': 'pass'}, source_labels={'Chicken': 'borderline', 'LLMs': 'borderline'} | gap 0.80: threshold_status={'Chicken': 'pass', 'LLMs': 'pass'}, source_labels={'Chicken': 'pass', 'LLMs': 'pass'}"
L4_structural_repair_gate,pass,L4 clears structural repair gate
hmc_sampling_launched,pass,No HMC or sampling commands launched by this diagnostics run.
