run_id,run_family,run_variant,fit_path,truth_path,seed,system,system_raw,stance,n_ratings,n_leaves_observed,n_raters,rater_design_tag,true_C,root_z_true,n_top_children,n_top_present,log_B_top_latent,log_B_top_max,log_B_top_min,top_latent_category,top_decisive_present_possible,top_decisive_absent_possible,log_L0_oracle,log_L1_oracle,log_B_oracle,rho_oracle_collapsed,rho_oracle_with_true_C,exact_loglik_consistency_abs,oracle_category,oracle_correct_sign,oracle_decisive_for_true_root,log_B_draw_mean,log_B_draw_median,log_B_draw_sd,log_B_draw_q05,log_B_draw_q25,log_B_draw_q75,log_B_draw_q95,p_draw_log_B_gt_0,p_draw_log_B_gt_tau_present_50,p_draw_log_B_lt_tau_absent_05,rho_posterior_collapsed,rho_posterior_sampled_pi,log_B_eff_posterior,n_posterior_draws_used,posterior_extraction_method,posterior_category,posterior_correct_sign,posterior_decisive_for_true_root,delta_eff_minus_oracle,delta_median_draw_minus_oracle,delta_eff_minus_top,sign_flip_oracle_vs_posterior,category_shift_oracle_to_posterior,large_disagreement_flag,severe_disagreement_flag,log_score_improvement_oracle,log_score_improvement_posterior,brier_improvement_oracle,brier_improvement_posterior
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,full_exact_recovery,full,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506/fit.nc,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506/truth.json,20260506,Chicken,Chicken,Global Workspace Theory,93,49,2,current_gwt_rater_design,0.25,0,7,3,-4.113173808410764,6.889069991302298,-8.911541094817743,strong_absent,True,True,-156.00135735018975,-159.01213372522682,-3.010776375037068,0.00975459550939264,0.01615261768105668,1.929834070324432e-11,strong_absent,True,True,-2.0130680572590336,-2.00735449124619,0.6853416218412793,-3.1468822299978583,-2.4580076047401747,-1.5367691413044966,-0.9313125216448711,0.00075,0.0,0.8355,0.031928663319339495,0.03177737570284705,-1.8023637240403754,4000,numpy_dp_fallback,moderate_absent,True,True,1.2084126509966926,1.0034218837908782,2.3108100843703885,False,strong_absent->moderate_absent,False,False,0.17251907354630408,0.14987205729109523,0.027682625644225915,0.02675833823641804
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,full_exact_recovery,full,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506/fit.nc,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506/truth.json,20260506,LLMs,2024 Leading Chat LLMs,Global Workspace Theory,186,50,4,current_gwt_rater_design,0.1,1,7,6,5.457920973726438,6.889069991302298,-8.911541094817743,strong_present,True,True,-305.32880515645473,-305.15446549935587,0.17433965709886934,0.1923055596912279,0.11682101331719781,1.7053025658242404e-13,ambiguous,True,False,0.9779719798139752,0.9612034110997456,0.7114426180002632,-0.1617916449925673,0.5063289734749361,1.4450083521609542,2.1895730100080466,0.9165,0.18125,0.00025,0.36100892775920407,0.3618509194360238,1.038450118270319,4000,numpy_dp_fallback,ambiguous,True,False,0.8641104611714496,0.7868637540008763,-4.419470855456119,False,ambiguous->ambiguous,False,False,0.14308975397356827,0.7729068789079161,0.04207413553874384,0.28613485404100253
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,smoke,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke/fit.nc,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke/truth.json,20260506,Chicken,Chicken,Global Workspace Theory,93,49,2,current_gwt_rater_design,0.25,0,7,3,-4.113173808410764,6.889069991302298,-8.911541094817743,strong_absent,True,True,-156.00135735018975,-159.01213372522682,-3.010776375037068,0.00975459550939264,0.01615261768105668,1.929834070324432e-11,strong_absent,True,True,-1.9195172550829986,-1.8908819535587895,0.7949586765839495,-3.291706142881435,-2.447561090983932,-1.4526862896830508,-0.5935530509045954,0.0125,0.0,0.79375,0.037537997742490906,0.039272111377650076,-1.6347029816797836,160,numpy_dp_fallback,moderate_absent,True,True,1.3760733933572844,1.1198944214782784,2.4784708267309803,False,strong_absent->moderate_absent,False,False,0.17251907354630408,0.1440608650204567,0.027682625644225915,0.026368676503262523
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,smoke,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke/fit.nc,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke/truth.json,20260506,LLMs,2024 Leading Chat LLMs,Global Workspace Theory,186,50,4,current_gwt_rater_design,0.1,1,7,6,5.457920973726438,6.889069991302298,-8.911541094817743,strong_present,True,True,-305.32880515645473,-305.15446549935587,0.17433965709886934,0.1923055596912279,0.11682101331719781,1.7053025658242404e-13,ambiguous,True,False,1.0400770834010875,1.0115327072290086,0.7939027093833724,-0.23423079290579948,0.5555376790911595,1.4962169585620728,2.420087359090976,0.91875,0.2125,0.0,0.37698758366420393,0.3606415438528314,1.1070837162601972,160,numpy_dp_fallback,ambiguous,True,False,0.9327440591613279,0.8371930501301392,-4.350837257466241,False,ambiguous->ambiguous,False,False,0.14308975397356827,0.8162164425738652,0.04207413553874384,0.30629997353587723
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,full,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507/fit.nc,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507/truth.json,20260507,Chicken,Chicken,Global Workspace Theory,93,49,2,current_gwt_rater_design,0.25,0,7,3,-5.831853888794505,6.889069991302298,-8.911541094817743,strong_absent,True,True,-155.13668675985343,-159.79382843033912,-4.657141670485686,0.0018951136009371099,0.0031545371973303008,1.0433609531901311e-10,strong_absent,True,True,-3.5388962755631663,-3.497173616310306,1.0432360389212387,-5.307334901036728,-4.200847993831175,-2.832422356785713,-1.8833580459193018,0.00025,0.0,0.98625,0.009497504993292835,0.010024601256606988,-3.0377453408103054,4000,numpy_dp_fallback,strong_absent,True,True,1.6193963296753804,1.1599680541753798,2.7941085479842,False,strong_absent->strong_absent,False,False,0.18042464519326898,0.17277866288385557,0.027774186322217318,0.027687575176680156
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,full,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507/fit.nc,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507/truth.json,20260507,LLMs,2024 Leading Chat LLMs,Global Workspace Theory,186,50,4,current_gwt_rater_design,0.1,0,7,4,-2.964014358357476,6.889069991302298,-8.911541094817743,moderate_absent,True,True,-261.79458873432685,-260.9626874304111,0.8319013039157426,0.3148510460115483,0.20337649290680085,1.2505552149377763e-12,ambiguous,False,False,0.30062716965370156,0.3098171796814313,0.7377088788589501,-0.8992762674639948,-0.19830421937383846,0.7924483198816716,1.4919788118053303,0.65925,0.036,0.01375,0.235506392447444,0.23598344093047782,0.43196230594407514,4000,numpy_dp_fallback,ambiguous,False,False,-0.39993899797166743,-0.5220841242343113,3.3959766643015508,False,ambiguous->ambiguous,False,False,-0.19579745648698427,-0.0862200584595752,-0.07135340339678832,-0.027685483105831736
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,full_exact_recovery,full,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508/fit.nc,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508/truth.json,20260508,LLMs,2024 Leading Chat LLMs,Global Workspace Theory,186,50,4,current_gwt_rater_design,0.1,0,7,4,-2.964014358357476,6.889069991302298,-8.911541094817743,moderate_absent,True,True,-266.38347117430754,-267.2211491580633,-0.837677983755782,0.07964971410261963,0.045873766679606916,1.3073986337985843e-12,ambiguous,True,False,-0.6056860699460394,-0.5806484878664833,0.7435401444458999,-1.8567020090131479,-1.0985152043858335,-0.10570121016823464,0.5864321119757248,0.20825,0.0005,0.16625,0.1174202036701191,0.1176267459177743,-0.407652307877826,4000,numpy_dp_fallback,ambiguous,True,False,0.4300256758779559,0.2570294958892987,2.55636205047965,False,ambiguous->ambiguous,False,False,0.09932062093034433,0.05741548330196124,0.021433700821148732,0.013990273547845525
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,full_exact_recovery,full,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509/fit.nc,notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509/truth.json,20260509,LLMs,2024 Leading Chat LLMs,Global Workspace Theory,186,50,4,current_gwt_rater_design,0.1,0,7,2,-7.263002906370367,6.889069991302298,-8.911541094817743,strong_absent,True,True,-266.4440629430915,-270.6746444149633,-4.230581471871801,0.002900349743038719,0.0016133851377636158,6.775735528208315e-11,strong_absent,True,True,-2.0146574862395834,-1.9665931070878742,0.8742639224422738,-3.551926077163992,-2.58627188585416,-1.4063355454693038,-0.6397591094530215,0.00725,0.0,0.78175,0.035665916254707816,0.03578891524669491,-1.6878043760553587,4000,numpy_dp_fallback,moderate_absent,True,True,2.5427770958164424,2.263988364783927,5.575198530315008,False,strong_absent->moderate_absent,True,False,0.17941699288625987,0.1460040722861066,0.027769365749145833,0.026505720195489944
sample_size_sweep:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,sample_size_sweep,full,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506/fit.nc,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506/truth.json,20260506,Chicken,Chicken,Global Workspace Theory,93,49,2,current_gwt_rater_design,0.25,0,7,3,-4.113173808410764,6.889069991302298,-8.911541094817743,strong_absent,True,True,-156.00135735018975,-159.01213372522682,-3.010776375037068,0.00975459550939264,0.01615261768105668,1.929834070324432e-11,strong_absent,True,True,-1.659130447051408,-1.7184522416628596,1.3216406420275086,-3.767000000276829,-2.5372409405855834,-0.834768333336541,0.6271312759446123,0.108,0.01,0.60875,0.07085067345612288,0.07097424328978491,-0.9642570810056621,4000,numpy_dp_fallback,ambiguous,True,False,2.046519294031406,1.2923241333742084,3.1489167274051018,False,strong_absent->ambiguous,True,False,0.17251907354630408,0.10883574272238625,0.027682625644225915,0.022757959848591622
sample_size_sweep:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,sample_size_sweep,full,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506/fit.nc,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506/truth.json,20260506,LLMs,2024 Leading Chat LLMs,Global Workspace Theory,186,50,4,current_gwt_rater_design,0.1,1,7,6,5.457920973726438,6.889069991302298,-8.911541094817743,strong_present,True,True,-305.32880515645473,-305.15446549935587,0.17433965709886934,0.1923055596912279,0.11682101331719781,1.7053025658242404e-13,ambiguous,True,False,-2.008680207301022,-2.347087064416428,2.135981395881742,-4.8925982541846595,-3.478954742897642,-0.8496089436800958,2.2101927754350186,0.1655,0.0735,0.69,0.10414580454822468,0.10468558431080915,-0.542547874895396,4000,numpy_dp_fallback,ambiguous,False,False,-0.7168875319942654,-2.5214267215152972,-6.000468848621834,True,ambiguous->ambiguous,True,False,0.14308975397356827,-0.4702039256407624,0.04207413553874384,-0.10811029506410319
